NAME,Latitude,Longitude
1,-29.6839618,-53.832732
2,-29.7057875,-53.8043629
3,-29.6934318,-53.8067944
4,-29.6922471,-53.86154
5,-29.676276,-53.8007943
6,-29.673147,-53.8108849
7,-29.6720333,-53.8220481
8,-29.6849848,-53.7870344
9,-29.7238564,-53.8073348
10,-29.6876061,-53.812911
11,-29.7164244,-53.7579703
12,-29.7096137,-53.7272788
13,-29.6993464,-53.7179994
14,-29.6954663,-53.8754067
15,-29.683762,-53.8117793
16,-29.6954663,-53.8754067
17,-29.6888494,-53.803317
18,-29.681879,-53.861752
19,-29.6820193,-53.8574111
20,-29.6853953,-53.8035423
21,-29.6726169,-53.8432742
22,-29.6853953,-53.8035423
23,-29.6975914,-53.8607638
24,-29.6942959,-53.8498827
25,-29.6802937,-53.8055189
26,-29.6999622,-53.8454982
27,-29.700848,-53.755686
28,-29.6963346,-53.8366275
29,-29.7168259,-53.7624477
30,-29.7154142,-53.8142478
31,-29.7068289,-53.8559813
32,-29.7125256,-53.8244267
